record_id,experiment,repeat,batch_size,qname,date,truth,served_model,choice,p_choice,p_max,deficit,mismatch,is_tie,n_argmax_options,top2_gap,gap_bucket,confidence,p_unknown,prob_sum,choice_correct,p_Monday,p_Tuesday,p_Wednesday,p_Thursday,p_Friday,p_Saturday,p_Sunday,p_Unknown
batch:000,batch,0,4,q0,2028-04-04,Tuesday,jev-1.13.0,Tuesday,0.16,0.16,0.0,0,0,1,0.01,<=0.01,0.03,0.05,1.0,1,0.13,0.16,0.13,0.13,0.13,0.15,0.12,0.05
batch:000,batch,0,4,q1,2031-05-26,Monday,jev-1.13.0,Saturday,0.14,0.15000000000000002,0.01,1,0,1,0.01,<=0.01,0.02,0.08,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.14,0.14,0.11,0.08
batch:000,batch,0,4,q2,2035-10-16,Tuesday,jev-1.13.0,Wednesday,0.13,0.14,0.01,1,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.14,0.13,0.13,0.13,0.14,0.11,0.09
batch:000,batch,0,4,q3,2035-10-18,Thursday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.01,0.11,1.0,0,0.12,0.13,0.13,0.13,0.13,0.14,0.11,0.11
batch:001,batch,0,4,q0,2035-10-28,Sunday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.14,0.12,0.09
batch:001,batch,0,4,q1,2039-07-05,Tuesday,jev-1.13.0,Friday,0.14,0.14,0.0,0,0,1,0.01,<=0.01,0.02,0.1,1.0,0,0.13,0.13,0.13,0.12,0.14,0.13,0.12,0.1
batch:001,batch,0,4,q2,2039-11-10,Thursday,jev-1.13.0,Friday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.01,0.1,1.0,0,0.13,0.13,0.13,0.12,0.15000000000000002,0.13,0.11,0.1
batch:001,batch,0,4,q3,2042-11-08,Saturday,jev-1.13.0,Tuesday,0.15000000000000002,0.15000000000000002,0.0,0,0,1,0.02,>0.01,0.02,0.09,1.0,0,0.13,0.15000000000000002,0.13,0.12,0.13,0.13,0.12,0.09
batch:002,batch,0,4,q0,2043-06-10,Wednesday,jev-1.13.0,Tuesday,0.14,0.14,0.0,0,1,3,0.0,0 (exact tie),0.02,0.08,1.0,0,0.13,0.14,0.14,0.12,0.13,0.14,0.12,0.08
batch:002,batch,0,4,q1,2044-03-05,Saturday,jev-1.13.0,Tuesday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.04,0.07,1.0,0,0.14,0.15,0.14,0.12,0.13,0.14,0.11,0.07
batch:002,batch,0,4,q2,2044-08-25,Thursday,jev-1.13.0,Saturday,0.15,0.15,0.0,0,0,1,0.01,<=0.01,0.02,0.09,1.0,0,0.13,0.13,0.13,0.12,0.14,0.15,0.11,0.09
batch:002,batch,0,4,q3,2046-07-30,Monday,jev-1.13.0,Saturday,0.14,0.14,0.0,0,1,2,0.0,0 (exact tie),0.02,0.08,1.0,0,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.08
